Route,RouteType,TicketType,Hour,Ridership,Weather,Traffic,DayType,Month,Feedback
Route_5,Metro,Single,14,424,Rainy,2,Weekend,Feb,Noisy ride
Route_4,Tram,Single,5,93,Cloudy,2,Weekend,Feb,Clean train
Route_3,Metro,Single,14,432,Sunny,3,Weekend,Jan,Good service
Route_9,Metro,Monthly,9,926,Cloudy,4,Weekday,Aug,Late bus
Route_4,Bus,Daily,18,488,Rainy,2,Weekend,Jan,Late bus
Route_8,Tram,Daily,16,188,Sunny,2,Weekday,Jan,Delay problem
Route_10,Bus,Weekly,10,428,Rainy,2,Weekend,Mar,Crowded station
Route_2,Metro,Weekly,5,538,Rainy,2,Weekend,Jun,Good service
Route_2,Metro,Weekly,20,826,Rainy,1,Weekday,Aug,Clean train
Route_8,Tram,Daily,16,227,Sunny,4,Weekday,Jul,Noisy ride
Route_3,Tram,Single,20,326,Sunny,1,Weekend,May,Noisy ride
Route_7,Tram,Weekly,18,426,Rainy,5,Weekend,Feb,Clean train
Route_6,Metro,Daily,22,512,Sunny,4,Weekday,Jul,Ticket issue
Route_7,Bus,Monthly,7,504,Sunny,3,Weekend,Feb,Helpful staff
Route_8,Metro,Weekly,14,413,Rainy,1,Weekend,Mar,Crowded station
Route_3,Metro,Monthly,6,571,Cloudy,2,Weekday,Feb,Noisy ride
Route_6,Tram,Daily,15,149,Sunny,2,Weekday,Jan,Good service
Route_8,Metro,Monthly,5,615,Rainy,3,Weekday,Aug,Crowded station
Route_9,Metro,Daily,19,604,Rainy,2,Weekend,May,Good service
Route_5,Tram,Monthly,9,379,Cloudy,5,Weekend,Apr,Ticket issue
Route_3,Tram,Monthly,6,273,Cloudy,5,Weekend,Feb,Late bus
Route_9,Tram,Single,5,88,Rainy,5,Weekend,Jul,Crowded station
Route_5,Metro,Monthly,21,603,Rainy,2,Weekday,Jan,Delay problem
Route_8,Bus,Weekly,13,378,Sunny,5,Weekday,Apr,Noisy ride
Route_1,Metro,Weekly,17,722,Sunny,1,Weekend,May,Crowded station
Route_2,Tram,Weekly,19,455,Rainy,4,Weekend,Apr,Crowded station
Route_4,Bus,Daily,23,192,Cloudy,5,Weekend,Jan,Crowded station
Route_1,Metro,Monthly,11,518,Cloudy,2,Weekend,Aug,Helpful staff
Route_3,Bus,Monthly,14,319,Rainy,4,Weekend,Aug,Crowded station
Route_9,Bus,Single,19,585,Sunny,5,Weekday,Jun,Good service
Route_5,Tram,Weekly,14,169,Sunny,5,Weekend,Aug,Late bus
Route_9,Metro,Single,16,492,Rainy,5,Weekend,Jun,Ticket issue
Route_6,Metro,Weekly,10,499,Rainy,1,Weekend,Apr,Clean train
Route_8,Bus,Single,7,547,Rainy,3,Weekday,Mar,Crowded station
Route_2,Metro,Daily,9,691,Sunny,2,Weekend,Jul,Noisy ride
Route_1,Tram,Weekly,23,238,Rainy,3,Weekday,Jul,Crowded station
Route_5,Metro,Single,16,510,Sunny,5,Weekday,Apr,Noisy ride
Route_2,Tram,Daily,18,252,Sunny,2,Weekend,Feb,Good service
Route_6,Metro,Weekly,21,533,Cloudy,1,Weekday,Feb,Noisy ride
Route_1,Metro,Single,21,409,Rainy,1,Weekend,Aug,Delay problem
Route_9,Metro,Weekly,22,536,Cloudy,2,Weekend,Jul,Clean train
Route_3,Metro,Weekly,12,508,Sunny,3,Weekend,Jul,Late bus
Route_6,Metro,Daily,21,494,Rainy,2,Weekday,Jun,Noisy ride
Route_10,Bus,Daily,5,234,Rainy,2,Weekend,Mar,Noisy ride
Route_1,Metro,Daily,21,326,Rainy,5,Weekend,Jan,Late bus
Route_10,Tram,Daily,19,414,Cloudy,4,Weekday,Feb,Clean train
Route_8,Metro,Monthly,17,726,Rainy,5,Weekend,Jul,Crowded station
Route_10,Metro,Single,7,702,Rainy,2,Weekend,Jun,Noisy ride
Route_9,Tram,Daily,17,467,Rainy,3,Weekday,May,Late bus
Route_4,Metro,Monthly,19,761,Rainy,3,Weekday,Jun,Delay problem
Route_6,Tram,Single,10,216,Sunny,5,Weekday,Feb,Delay problem
Route_4,Bus,Weekly,8,680,Cloudy,3,Weekday,Feb,Good service
Route_7,Metro,Monthly,17,716,Sunny,2,Weekend,Jun,Late bus
Route_9,Metro,Daily,11,530,Cloudy,1,Weekday,Jan,Good service
Route_9,Tram,Daily,15,151,Sunny,1,Weekend,Apr,Delay problem
Route_9,Metro,Monthly,10,646,Rainy,1,Weekday,Feb,Clean train
Route_7,Tram,Monthly,19,508,Rainy,5,Weekday,Jun,Crowded station
Route_9,Tram,Monthly,7,534,Cloudy,1,Weekday,Jul,Late bus
Route_2,Metro,Weekly,18,866,Sunny,1,Weekday,Jun,Ticket issue
Route_9,Bus,Weekly,23,398,Rainy,1,Weekend,Mar,Delay problem
Route_5,Bus,Daily,22,326,Sunny,4,Weekday,Apr,Delay problem
Route_6,Bus,Monthly,20,590,Cloudy,4,Weekend,May,Ticket issue
Route_2,Bus,Monthly,15,394,Sunny,2,Weekday,Jan,Helpful staff
Route_1,Metro,Weekly,8,690,Rainy,4,Weekend,Aug,Delay problem
Route_8,Tram,Daily,19,490,Rainy,2,Weekday,May,Noisy ride
Route_3,Tram,Single,15,267,Cloudy,4,Weekday,Apr,Clean train
Route_7,Metro,Daily,10,396,Rainy,3,Weekend,Apr,Late bus
Route_9,Metro,Daily,8,800,Rainy,2,Weekday,Apr,Ticket issue
Route_7,Metro,Monthly,21,518,Cloudy,3,Weekend,May,Noisy ride
Route_1,Metro,Daily,6,367,Sunny,2,Weekend,Jul,Ticket issue
Route_8,Tram,Monthly,16,218,Rainy,1,Weekend,Apr,Late bus
Route_1,Metro,Daily,12,576,Rainy,4,Weekday,Jun,Good service
Route_3,Tram,Daily,16,198,Rainy,3,Weekday,May,Late bus
Route_9,Tram,Weekly,5,378,Sunny,5,Weekday,Aug,Helpful staff
Route_1,Bus,Monthly,13,319,Sunny,5,Weekday,Apr,Late bus
Route_9,Metro,Weekly,11,641,Rainy,5,Weekday,Jun,Late bus
Route_8,Metro,Weekly,13,504,Rainy,5,Weekend,Jul,Helpful staff
Route_7,Bus,Daily,9,485,Rainy,1,Weekend,Mar,Clean train
Route_8,Metro,Single,17,654,Sunny,1,Weekend,Jul,Delay problem
Route_1,Tram,Monthly,15,100,Cloudy,5,Weekend,Aug,Late bus
Route_4,Metro,Daily,10,389,Sunny,1,Weekend,Apr,Helpful staff
Route_10,Bus,Daily,17,517,Sunny,5,Weekend,Aug,Noisy ride
Route_1,Bus,Monthly,10,523,Rainy,5,Weekday,May,Good service
Route_7,Bus,Monthly,14,324,Cloudy,4,Weekend,Feb,Good service
Route_3,Metro,Weekly,9,709,Cloudy,1,Weekend,Apr,Late bus
Route_7,Metro,Weekly,11,474,Sunny,2,Weekend,Feb,Clean train
Route_7,Metro,Monthly,17,895,Rainy,4,Weekday,Jun,Clean train
Route_7,Tram,Single,19,466,Cloudy,2,Weekday,Mar,Noisy ride
Route_3,Tram,Daily,15,173,Cloudy,5,Weekday,Jan,Late bus
Route_8,Metro,Monthly,19,775,Rainy,3,Weekend,Aug,Good service
Route_3,Metro,Single,16,504,Sunny,5,Weekday,Jul,Clean train
Route_3,Tram,Single,14,248,Rainy,1,Weekday,Mar,Late bus
Route_7,Tram,Daily,14,64,Sunny,1,Weekend,Apr,Ticket issue
Route_1,Metro,Weekly,16,583,Rainy,4,Weekday,Feb,Clean train
Route_3,Metro,Single,15,480,Cloudy,2,Weekday,Jul,Helpful staff
