Age,Income,SpendingScore,NumPurchases,CreditScore,Gender,City,IsSubscribed,MaritalStatus,YearsWithCompany,HasCreditCard,SatisfactionScore,Target
56,35903.31,99.64,6,627.17,Male,CityB,0,Married,27,1,7.66,173.73
69,63051.95,37.46,4,678.92,Male,CityC,0,Divorced,30,1,8.84,182.37
46,48654.74,45.41,6,634.29,Female,CityA,0,Married,31,1,6.71,166.68
32,38666.19,72.49,2,739.67,Female,CityC,0,Single,19,1,8.59,170.44
60,50301.41,88.73,5,720.93,Female,CityB,0,Divorced,39,1,3.35,210.64
25,43776.78,59.71,2,717.98,Male,CityA,1,Single,34,0,1.88,138.94
38,85307.12,39.76,3,569.78,Female,CityB,0,Married,30,1,6.54,169.11
56,73224.6,41.85,6,673.73,Female,CityA,1,Divorced,30,0,4.91,185.8
36,59880.41,69.87,6,665.12,Male,CityB,0,Divorced,37,0,4.84,188.21
40,82199.16,1.32,5,652.3,Female,CityC,1,Divorced,21,0,5.74,161.52
28,61160.52,62.34,4,679.24,Male,CityB,1,Divorced,40,1,4.25,183.82
28,47080.74,36.19,3,643.69,Female,CityB,0,Single,8,1,6.63,125.59
41,82846.86,79.63,1,710.76,Female,CityA,0,Married,8,1,1.28,166.44
53,68083.65,10.21,4,738.33,Female,CityB,1,Married,14,1,9.73,204.65
57,44441.31,59.23,3,734.02,Male,CityC,1,Divorced,12,1,9.32,188.91
41,57144.92,48.62,4,693.1,Female,CityC,0,Married,21,1,9.42,182.36
20,46865.73,64.59,2,799.96,Female,CityC,0,Single,15,1,4.29,158.28
39,39258.0,7.42,2,757.0,Female,CityA,0,Married,31,1,5.79,133.26
19,73892.66,58.42,4,694.92,Female,CityA,1,Single,1,0,9.59,186.79
41,88641.25,56.59,4,675.89,Male,CityB,0,Single,25,1,9.12,172.21
61,39021.49,56.51,1,766.9,Male,CityB,0,Married,13,0,8.11,160.97
47,68444.54,60.75,2,750.38,Female,CityB,0,Single,37,0,4.67,182.03
55,50240.36,67.97,4,629.48,Female,CityA,0,Single,33,0,6.08,184.66
19,52693.12,80.69,2,754.29,Female,CityA,0,Single,7,0,8.14,175.74
38,51114.09,27.71,3,692.28,Male,CityB,1,Single,35,1,3.46,155.73
50,47040.14,82.68,5,656.95,Female,CityA,1,Divorced,20,1,6.64,192.52
29,60727.82,50.33,2,601.04,Female,CityA,0,Married,27,0,8.45,155.7
39,47535.75,8.63,2,686.55,Male,CityC,0,Divorced,5,0,7.37,140.38
61,64056.85,6.8,2,699.39,Male,CityC,1,Single,19,0,5.32,160.17
